id,component,peaks,intensity
44,myristic acid,"[670, 893, 908, 986, 1039, 1063, 1092, 1128, 1175, 1296, 1371, 1412, 1422, 1438, 1454, 1507, 1627, 1650]","[0.08155682291051657, 0.3636592171056977, 0.17967470927798213, 0.046750756514725725, 0.04610314688286885, 0.8751776314551161, 0.23022641616821843, 0.9822924616115432, 0.08556212355289973, 0.9281187924866959, 0.04002622112213289, 0.1337316061124876, 0.4824878842667323, 0.6485953871512528, 0.3126300731300151, 0.027650123460504016, 0.05580473249359409, 0.0490513898804092]"
45,n-acetyl- d-glucosamine,"[463, 481, 513, 527, 554, 578, 630, 698, 790, 865, 916, 929, 973, 1002, 1020, 1039, 1091, 1126, 1151, 1206, 1257, 1279, 1292, 1321, 1330, 1361, 1380, 1432, 1473, 1552, 1627]","[0.0885141696153218, 0.2643818706180787, 0.6411923436386129, 0.2894049447493309, 0.2250076439709416, 0.7811930052450259, 0.193651707571532, 0.09252191797308798, 0.40057163888823144, 0.3720573773900719, 0.17582320100592452, 0.400353351187447, 1.0, 0.3805742058477264, 0.42424149457507726, 0.28894762699731547, 0.30377553042429467, 0.6486796078044147, 0.27295359078087345, 0.05885271293668173, 0.4641603618153107, 0.2762854571403961, 0.21057981998154335, 0.4251272471402829, 0.4201982015613882, 0.3297162217772668, 0.47812827474639225, 0.25701042033668153, 0.22038313316860886, 0.05160448922469628, 0.3921225264543763]"
46,oleic acid,"[602, 725, 845, 856, 866, 890, 903, 971, 1023, 1035, 1065, 1080, 1118, 1265, 1301, 1416, 1440, 1655]","[0.04409048832079672, 0.05769017626364409, 0.1973756546604288, 0.19855209480123417, 0.20430839849309926, 0.1629222633250341, 0.1427600903483478, 0.1089594610647517, 0.1022247314745291, 0.11454742344488064, 0.3070435080454664, 0.3850738400737862, 0.1354542750020131, 0.30860183043827005, 0.6108309847388274, 0.1515018282080933, 1.0, 0.6934751581412201]"
47,palmitic acid,"[670, 893, 909, 1063, 1099, 1129, 1174, 1296, 1371, 1421, 1438, 1455, 1465, 1481, 1627]","[0.06020268984428854, 0.30661562867569686, 0.16093371408850746, 0.8478504346584276, 0.22645648985326566, 1.0, 0.09512026361985973, 0.9954941500120073, 0.06023743203498053, 0.4990978812719852, 0.8668389656179379, 0.3734014153765238, 0.4597218692549629, 0.09346891975266945, 0.043739705208720024]"
48,phosphoenolpyruvate,"[451, 465, 535, 548, 741, 756, 787, 846, 863, 891, 966, 973, 1034, 1085, 1097, 1185, 1234, 1266, 1286, 1318, 1355, 1373, 1397, 1446, 1472, 1631]","[0.1602971982169563, 0.04105567651479331, 0.053591827919154046, 0.12652361171443505, 0.062368352870100625, 0.17614905166295444, 0.9725113410988467, 0.33026723412406883, 0.15147331223151506, 0.05428198746021526, 0.12959523824819624, 0.20280069340266832, 0.689278290175833, 0.06296623702831132, 0.06537572633802657, 0.11110838863815573, 0.11292475051168346, 0.3577264863653133, 0.10797022537959901, 0.07071741157039713, 0.11077123096348573, 0.16943944547119236, 0.24960359601142793, 0.4003871003041275, 0.1091795092661674, 0.19111035400450582]"
49,pyruvate,"[547, 636, 834, 980, 1197, 1371, 1408, 1430, 1628, 1658, 1700]","[0.053844238019481516, 0.2393650476699284, 0.5190254009965898, 0.148227254765123, 0.051555648582782033, 0.2926373751352642, 0.9597098366013721, 0.07749193811678969, 0.06377272402905329, 0.12972748016260802, 0.8321313183677924]"
50,riboﬂavin,"[451, 502, 531, 603, 677, 742, 785, 1158, 1184, 1226, 1253, 1345, 1402, 1464, 1496, 1534, 1576, 1621, 1658, 1704]","[0.05244098898234894, 0.16416861502417796, 0.11159859948297268, 0.08460277265162106, 0.11995102648725076, 0.24004596696947908, 0.1613065564517391, 0.15376861485014942, 0.19115953187227536, 0.4822902309999467, 0.10424885093593307, 1.0, 0.20888797295448946, 0.17454159729283078, 0.14372225490536242, 0.27172783562490993, 0.2132668251152054, 0.07769370219871474, 0.10016482474333675, 0.08324272444107736]"
51,stearic acid,"[818, 848, 866, 890, 909, 1062, 1100, 1129, 1173, 1187, 1206, 1296, 1371, 1408, 1418, 1441, 1463, 1474, 1498, 1648]","[0.04004187237492115, 0.09854993821916615, 0.13978300302496888, 0.06121264337956059, 0.03610707760594689, 0.4035066548635116, 0.15124864005257796, 0.38892583730184155, 0.14609968244974988, 0.04943078897474268, 0.033087126909042176, 0.4317856717560419, 0.023285757163797858, 0.1481627770423439, 0.14157079740134307, 0.9930083348304154, 0.5153029817109538, 0.2184039773581162, 0.0460709131615631, 0.03517850535244306]"
52,succinic acid,"[582, 684, 936, 1086, 1230, 1294, 1369, 1420, 1432, 1457, 1655]","[0.04831439876104983, 0.23229047557585736, 1.0, 0.16293826402056893, 0.06794906550375576, 0.1172196146619141, 0.08870601337954728, 0.49332011406021353, 0.2903986760339841, 0.04558362349950355, 0.230543374899088]"
53,thymine,"[479, 561, 617, 740, 767, 804, 984, 1156, 1216, 1247, 1261, 1369, 1408, 1435, 1459, 1490, 1655, 1671, 1702]","[0.3263288853441133, 0.2526053936353571, 0.5036562735876748, 0.6733430953398879, 0.04877565660701684, 0.35001722629467585, 0.33660073644332733, 0.1027600539165929, 0.07823609402127568, 0.08828419556882873, 0.07116855013997894, 0.9794159056133332, 0.09997953138423986, 0.09517733414897361, 0.11161269767859522, 0.15640913390937097, 0.14108745385799817, 0.978171360162789, 0.04793540705251179]"
54,trilinolein,"[841, 868, 912, 972, 1075, 1108, 1264, 1302, 1440, 1654, 1743]","[0.13488074820324295, 0.16476700874691722, 0.09172524518786399, 0.12678124818679323, 0.14898785618605456, 0.0868783898912129, 0.33449351480911543, 0.2742901643076115, 0.42682263145113924, 0.9801933029747162, 0.07145778876903494]"
55,trilinolenin,"[866, 969, 1024, 1081, 1160, 1266, 1302, 1441, 1640, 1655, 1741]","[0.25202467951627583, 0.08983738893026676, 0.05525247612489846, 0.0974457857218774, 0.062186171464398164, 0.30131597176045244, 0.19997824253150043, 0.2846813143099601, 0.5111517277132763, 1.0, 0.05901520784654974]"
56,triolein,"[601, 725, 852, 869, 881, 971, 1065, 1081, 1118, 1266, 1301, 1440, 1655, 1743]","[0.05564791122716792, 0.057729478085067704, 0.23491233734035624, 0.24088828659485814, 0.19790457002485654, 0.12705467525865619, 0.3189721723225887, 0.40190255153857457, 0.14139952943297113, 0.3427389683029231, 0.6140643259646574, 1.0, 0.6320526440355404, 0.13802918223685484]"
57,uracil,"[529, 537, 556, 577, 790, 984, 995, 1100, 1235, 1255, 1394, 1418, 1455, 1504, 1608, 1646, 1711]","[0.10340315562891095, 0.10710309978458599, 0.3007879587482208, 0.2424303638186082, 0.9590343643518761, 0.06655994890126603, 0.039125521986246976, 0.0969181442509846, 0.6303322973968037, 0.050815653595315986, 0.18356395269165812, 0.08671615815947771, 0.054279710950519665, 0.058204042579505434, 0.03920079367586837, 0.11745030050106317, 0.08598015205602769]"
58,vaccenic acid,"[817, 863, 889, 971, 1018, 1034, 1065, 1078, 1091, 1112, 1264, 1302, 1416, 1439, 1655]","[0.08356089254500335, 0.20220873187214247, 0.2104738607501731, 0.10404033695807142, 0.12942985310261274, 0.10151422033105566, 0.27750775834911545, 0.31532474420739437, 0.26882387929007184, 0.15986890056388853, 0.33483992810740176, 0.6259605340875963, 0.16467079438278673, 1.0, 0.7009796941016178]"
59,β-carotene,"[1008, 1156, 1190, 1211, 1270, 1280, 1353, 1394, 1448, 1515]","[0.23677818171694692, 1.0, 0.1229028500616881, 0.10170395419821218, 0.0789924530656024, 0.05433842142817966, 0.038364470239346735, 0.026678341232080963, 0.03936942876869528, 0.8608359870985997]"
60,β-d-glucose,"[542, 650, 772, 841, 914, 1002, 1022, 1054, 1075, 1120, 1149, 1272, 1296, 1459]","[1.0, 0.13742953369041042, 0.11789409579643374, 0.7016012811004587, 0.5680053064484396, 0.1574958933285535, 0.2678367336849097, 0.40754116319005956, 0.5388876491644811, 0.6872560983143773, 0.30796166324147006, 0.21132655128572744, 0.06041769695320862, 0.3685210859050153]"
61,arachidonic acid,"[935, 974, 1064, 1111, 1159, 1260, 1296, 1438, 1653]","[0.09635382165257957, 0.12079215561078468, 0.07945565803819535, 0.06865736842357295, 0.07094998275858748, 0.3432013591913956, 0.1651393314669614, 0.1969658477688392, 0.9888846317521108]"
62,α-linolenic acid,"[867, 971, 1068, 1086, 1263, 1300, 1437, 1654]","[0.21254286653983898, 0.17867745613079278, 0.1184812251534756, 0.10281922775040965, 0.5068287304082472, 0.17647137861654025, 0.3317277897298443, 0.986421427886597]"
63,arachidic acid,"[574, 671, 898, 975, 1029, 1066, 1111, 1132, 1176, 1298, 1421, 1442, 1466]","[0.0242636190424737, 0.0215315214246444, 0.1583937179483302, 0.01002369475107442, 0.04403264858038465, 0.7508980778895126, 0.17023831647050383, 0.5073103459450063, 0.13758233440407944, 0.976489935156287, 0.29154371171162585, 0.8677461278145088, 0.5140156559486593]"
64,cholesterol,"[548, 701, 1087, 1130, 1178, 1442, 1672]","[0.3753935224578019, 0.617077979952081, 0.3363239493270112, 0.35155322017715573, 0.4199416381487204, 1.0, 0.5772360870173393]"
65,cholesteryl linoleate,"[703, 1263, 1306, 1442, 1662, 1742]","[0.23955228531016035, 0.6292139968561713, 0.48446775827063315, 1.0, 0.8755923696975679, 0.07363136308832342]"
66,cholesteryl oleate,"[704, 1261, 1306, 1441, 1659, 1670, 1739]","[0.22510611929111474, 0.3206806931726037, 0.4753661668999793, 0.9776403080014329, 0.31065071957613494, 0.34244999097770074, 0.10914329113590487]"
67,cholesteryl palmitate,"[702, 1066, 1131, 1298, 1442, 1464, 1668, 1739]","[0.35884400556180873, 0.180184304313627, 0.4188490294661727, 0.238372239957744, 1.0, 0.5667641374045371, 0.3237069921686852, 0.09609244128785582]"
68,cholesteryl stearate,"[702, 1068, 1133, 1301, 1428, 1444, 1468, 1671, 1741]","[0.24161390684601688, 0.24021859163222503, 0.40347058246264544, 0.2154627175798055, 0.4526708854451145, 0.9981488641107394, 0.5610691764174512, 0.23330741819948783, 0.10888107927620637]"
69,elaidic acid,"[909, 1065, 1098, 1124, 1166, 1287, 1303, 1420, 1441, 1464, 1672]","[0.12207708349095789, 0.06832236541325899, 0.16127648168260417, 0.1072739241557936, 0.08388166078577981, 0.07359091179119467, 0.13841669375379564, 0.23246512633630043, 0.9974906639010164, 0.4125416128756462, 0.2969398732030735]"
70,linoleic acid,"[872, 904, 972, 1075, 1087, 1107, 1262, 1300, 1438, 1654]","[0.10892725121328689, 0.12452360136852447, 0.19449709407753285, 0.15344190631214633, 0.14165640155693013, 0.0881518847636196, 0.4077474182033439, 0.30065753566290887, 0.5240931588878466, 0.9807682661542483]"
71,myristic acid,"[570, 661, 674, 891, 958, 1062, 1091, 1125, 1175, 1294, 1419, 1433, 1457]","[0.03396447425694703, 0.01300975856075767, 0.009481891250301511, 0.3318818692290169, 0.003281733784622963, 0.977890429096293, 0.22078008453391954, 0.645669472690641, 0.025986508421095404, 0.9923039136947704, 0.3608117126699123, 0.649599579605144, 0.39719864495893215]"
72,oleic acid,"[866, 976, 1084, 1120, 1265, 1306, 1444, 1657]","[0.2083212340059782, 0.15882840212922403, 0.37838622268807104, 0.12992776899587932, 0.32871545394326745, 0.5810956201529152, 0.9968849023715491, 0.8362709503540484]"
73,palmitic acid,"[674, 898, 912, 980, 1034, 1067, 1103, 1132, 1179, 1300, 1426, 1443, 1467]","[0.04957008127088149, 0.28873244005150867, 0.15534381281199644, 0.016601714882697082, 0.035451619857260086, 0.7049991845601146, 0.22707608582698352, 0.8542259487958267, 0.10290186544791192, 1.0, 0.4738314801565437, 0.7612075945683667, 0.5265388457070938]"
74,l-α-phosphatidylcholine,"[719, 876, 1089, 1096, 1125, 1267, 1300, 1442, 1657, 1737]","[0.4021997648263779, 0.3034328876253379, 0.4209641809457647, 0.41089562780941774, 0.16847884953428102, 0.32597739795701197, 0.5783009388415808, 0.9985107498802093, 0.5927292863157526, 0.12938780653016838]"
75,l-α-phosphatidylethanolamine,"[760, 1085, 1096, 1125, 1267, 1300, 1442, 1657, 1737]","[0.21426486605837286, 0.5184941673942689, 0.47373194553451253, 0.17522398151009191, 0.3370415296917879, 0.6986653206901218, 0.9883986017117466, 0.749143014664834, 0.1663803484488241]"
76,palmitoleic acid,"[894, 975, 1086, 1118, 1265, 1305, 1442, 1655]","[0.24377420533495442, 0.16904188243394014, 0.36020446965983244, 0.1375043979034941, 0.36409420139523263, 0.5349826562139058, 0.9417667649172103, 0.9970403090972263]"
77,stearic acid,"[896, 915, 984, 1067, 1105, 1133, 1178, 1300, 1409, 1445, 1466]","[0.05689120410624584, 0.029841545606918964, 0.01737216918968638, 0.43828594681895316, 0.14479361499830717, 0.33186354319601424, 0.11213161460332274, 0.6140205198583166, 0.22810808449496633, 1.0, 0.61096978623468]"
78,sphingomyelin,"[723, 882, 1090, 1096, 1104, 1129, 1295, 1437, 1654, 1670]","[0.3339574452168664, 0.17045348526747625, 0.3480518374076811, 0.3514048320370948, 0.36157204001502596, 0.4907300182352807, 0.9729972574221609, 1.0, 0.2253311522624602, 0.27429808623206836]"
79,triarachidin,"[890, 1061, 1109, 1131, 1297, 1444, 1467, 1729, 1742]","[0.110507334640579, 0.4568333791896367, 0.1136345882857934, 0.5033961092694809, 0.9909090023093368, 0.7781287357097224, 0.6308265156976485, 0.061690408532941235, 0.08492438145671216]"
80,tribehenin,"[890, 1061, 1113, 1131, 1296, 1444, 1466, 1727, 1742]","[0.09807169614833129, 0.43619242650030293, 0.12088110633326231, 0.49089428811603547, 0.9945540785781041, 0.7468689534752978, 0.6311535663136323, 0.04830849730709378, 0.08852455592206714]"
81,tricaproin,"[847, 1064, 1116, 1306, 1444, 1744]","[0.2646906060971458, 0.22391767369894514, 0.2396214884467921, 0.4862694328085253, 0.9963884316595661, 0.39371376688120385]"
82,tricaprin,"[891, 1063, 1075, 1125, 1299, 1443, 1454, 1729, 1743]","[0.2868220904944892, 0.530280448838926, 0.19683485568473885, 0.5323848173261394, 0.9105137423076115, 0.994954843590736, 0.8381458202222845, 0.15307644611882132, 0.2751765172674349]"
83,tricaprylin,"[867, 1065, 1077, 1118, 1305, 1442, 1745]","[0.1972254603391857, 0.22469903795761934, 0.22732732309355227, 0.20435919579343043, 0.5125734335477912, 0.9927625673194386, 0.3176900171891742]"
84,trielaidin,"[891, 1062, 1098, 1123, 1263, 1297, 1438, 1463, 1672, 1728, 1743]","[0.11889781635150479, 0.37585757343706006, 0.2960635030928516, 0.2270981511850954, 0.13709339939577483, 0.6690188006143235, 0.9569448109819253, 0.5819411902254064, 0.5554836433747721, 0.08204059419235316, 0.1515358599082744]"
85,tri-11-eicosenoin,"[871, 1065, 1254, 1275, 1303, 1440, 1656, 1743]","[0.21353827709864523, 0.2590536872941689, 0.1915709811458672, 0.2807843598727814, 0.5748972964600427, 0.9971165188557503, 0.5034595375371951, 0.18760744504825735]"
86,trierucin,"[891, 1062, 1111, 1249, 1276, 1297, 1441, 1462, 1660, 1727, 1738]","[0.14578201071911476, 0.37885215846071046, 0.43179921986558967, 0.12135280521372996, 0.26850252378172884, 0.8758655093809019, 1.0, 0.6389520532475323, 0.4125595009305416, 0.09723021862241786, 0.13521283740415252]"
87,trilinolein,"[1077, 1108, 1266, 1303, 1440, 1657, 1745]","[0.11878029177377859, 0.0703396354661956, 0.35581663912096145, 0.3234292039409934, 0.6048430811297707, 0.987097202582903, 0.09683153011418696]"
88,trilinolenin,"[868, 1071, 1090, 1267, 1301, 1442, 1656, 1744]","[0.14156099322262633, 0.07094168199765195, 0.06885816117060582, 0.33602611472064664, 0.17223098347751117, 0.3167426605222769, 0.996817583150998, 0.059659346264647965]"
89,trilaurin,"[892, 1063, 1085, 1127, 1297, 1442, 1459, 1729, 1743]","[0.2527583687834024, 0.5269717662175276, 0.15857838601721425, 0.5587521360980866, 0.9944357197539201, 0.888432493899495, 0.7561376856630078, 0.12585929478332616, 0.2390437051148964]"
90,trimyristin,"[891, 1062, 1094, 1129, 1297, 1443, 1465, 1729, 1742]","[0.23135372261662257, 0.5711147284148025, 0.1647573907530619, 0.6329409770767884, 0.9896837851429561, 0.9241480550438271, 0.7179506410426713, 0.09478813713374039, 0.187926457683203]"
91,triolein,"[870, 1069, 1082, 1118, 1268, 1302, 1440, 1655, 1749]","[0.1637905121143489, 0.198116750542449, 0.225347599209344, 0.09053065293523391, 0.2866428466523785, 0.5369397870636814, 0.9956550698282621, 0.605097658107238, 0.16467860616697644]"
92,tripalmitin,"[890, 1062, 1100, 1130, 1297, 1442, 1466, 1729, 1743]","[0.14805188044239864, 0.5060379142323332, 0.1600082283762344, 0.5674543945554952, 0.9843737600599318, 0.8016870622011385, 0.6226977000800518, 0.09688625045315363, 0.13842825418806062]"
93,tripetroselinin,"[892, 1063, 1075, 1127, 1252, 1267, 1297, 1444, 1456, 1655, 1730, 1743]","[0.2147759516065943, 0.5197437227792449, 0.3537315720795959, 0.362967099168037, 0.2158899732882783, 0.20430753973025179, 0.9776507715147865, 0.8948172414365596, 0.6653425476184476, 0.5279031288519016, 0.08035749721276261, 0.14280281168013406]"
94,tripalmitolein,"[890, 1067, 1079, 1114, 1266, 1304, 1444, 1656, 1746]","[0.1699213734640574, 0.19147434403195068, 0.23943613460295823, 0.09949300391074353, 0.3228764436782701, 0.5218779302767865, 0.9617216909012758, 0.683187886905655, 0.17330417799364478]"
95,tristearin,"[891, 1061, 1106, 1130, 1297, 1443, 1465, 1727, 1742]","[0.14886411736069483, 0.5181555986048089, 0.11897115257632919, 0.5351758106007481, 0.9847483766562023, 0.812156931554387, 0.6718841033151726, 0.05635983440256223, 0.11989130798922977]"
96,lactalbumin,"[512, 765, 841, 858, 882, 967, 1009, 1037, 1132, 1258, 1272, 1343, 1452, 1556, 1619, 1665]","[0.25233215393270786, 0.4472304121081473, 0.18035346983950945, 0.2429158386387609, 0.2611632926612443, 0.313815758336539, 0.645748995739289, 0.23453750179634875, 0.30045238364648674, 0.4832809840550749, 0.5178473783758752, 0.7346442368360034, 0.809112257378987, 0.4979515621891726, 0.3916300716718213, 0.9893278807279058]"
97,lactalbumin,"[511, 646, 761, 835, 858, 884, 959, 1008, 1037, 1130, 1258, 1272, 1343, 1445, 1555, 1619, 1670]","[0.2533849929476404, 0.13171669212639778, 0.518577752673857, 0.23833088281205614, 0.30537930837373145, 0.3582212801532034, 0.32821192373823244, 0.7595393014977455, 0.25485561418640057, 0.31913846284271497, 0.5811967779965048, 0.5569214693549214, 0.8685282482866435, 0.9351140592324688, 0.4917165104776851, 0.466333686076149, 0.9521241206828035]"
98,lactalbumin,"[505, 646, 795, 835, 857, 882, 957, 1003, 1031, 1126, 1265, 1383, 1445, 1551, 1619, 1665]","[0.19650896844263144, 0.1476041609735116, 0.019247485594799132, 0.12713256476392495, 0.17312518009043226, 0.2265209264040494, 0.20366118587519672, 0.4569721612063513, 0.12261248168120863, 0.2358379641980566, 0.4450099791326012, 0.03500102070918026, 0.9969560501772455, 0.3258989897535461, 0.3553493169221277, 0.7799557152302994]"
99,albumin,"[514, 825, 857, 1007, 1037, 1268, 1328, 1454, 1610, 1657]","[0.3109776748926379, 0.19140788628774147, 0.19510618393887152, 0.9017404108249916, 0.2871032226254872, 0.16635403973608132, 0.5982917924599404, 0.9510865149198173, 0.38333359538116574, 0.9384236907786997]"
100,albumin,"[512, 651, 755, 832, 856, 945, 1009, 1036, 1130, 1273, 1321, 1341, 1454, 1610, 1657]","[0.21296357004900027, 0.09359664316789809, 0.1377400967501834, 0.21458549057875456, 0.2966312708855808, 0.42877735496079816, 0.7071691517494304, 0.19899244217744197, 0.1800352406360436, 0.37490805720108383, 0.6235316923596657, 0.6616743953995364, 0.8292070199190998, 0.4306353476744523, 0.9981843414201138]"
101,albumin,"[508, 642, 748, 828, 853, 1004, 1032, 1125, 1268, 1319, 1340, 1450, 1606, 1656]","[0.16168372340166298, 0.1295795417760458, 0.12726187482979306, 0.1698214215691031, 0.1848936712931132, 0.5138463759316005, 0.18493143274147852, 0.17980772410072943, 0.2557354690509873, 0.5188040951145418, 0.5992507092699081, 0.9981757408709402, 0.35385876368595837, 0.9174196192462978]"
102,carbonic anhydrase,"[646, 654, 759, 831, 858, 880, 944, 980, 1006, 1031, 1128, 1237, 1346, 1453, 1554, 1620, 1667]","[0.0727301105672431, 0.056049355239429666, 0.3318983971854689, 0.2075050845191205, 0.21578245402651772, 0.30704572174309147, 0.21972270435501845, 0.2371559987098105, 0.9759248142301186, 0.2815590911866364, 0.15919813773061536, 0.6792216839232812, 0.6281559762638287, 0.8025258715373901, 0.39124892526147215, 0.4591104339356639, 0.9083275328508202]"
103,carbonic anhydrase,"[545, 647, 764, 830, 856, 883, 945, 1007, 1036, 1123, 1236, 1342, 1453, 1553, 1619, 1669]","[0.06456695976769412, 0.08967203517695752, 0.3591107428512719, 0.24587910464670132, 0.26225484839320173, 0.33236124770660413, 0.1961325454395685, 1.0, 0.25857206211435513, 0.15247398706025161, 0.7196618369202482, 0.7417016424279449, 0.8851923296036268, 0.40614664755999674, 0.4375039604795645, 0.9901931354324457]"
104,carbonic anhydrase,"[520, 543, 643, 760, 832, 858, 881, 943, 1004, 1034, 1125, 1241, 1335, 1450, 1552, 1619, 1665]","[0.0683162098549569, 0.1254061552810155, 0.12332121630805419, 0.2977997085234322, 0.16704980180217477, 0.18193701898032338, 0.16833947990808124, 0.1341915981883335, 0.7515306063234922, 0.24506198125971743, 0.2175422120269532, 0.5425649619898978, 0.6430537392523692, 0.9919902838378998, 0.28489275163219685, 0.33636745320338624, 0.896033815341759]"
105,collagen,"[528, 822, 862, 885, 940, 971, 1007, 1040, 1273, 1313, 1453, 1668]","[0.11497343842382524, 0.23666288909646915, 0.4600090702973319, 0.43416788136001755, 0.4228037082898017, 0.2555347273695623, 0.3158223272644557, 0.2807732916825939, 0.5831569073727509, 0.338141090745579, 0.997291081548879, 0.9492759062850279]"
106,collagen,"[537, 759, 820, 859, 881, 924, 943, 1007, 1035, 1271, 1312, 1456, 1668]","[0.13682040632986497, 0.11177245408470293, 0.1768911002854067, 0.4049462523515325, 0.31582830032491555, 0.4090557744343595, 0.3706107309482644, 0.23518359577178258, 0.27963108333340675, 0.6309401504335445, 0.28444235824169367, 0.9989220186759118, 0.9820373279827963]"
107,collagen,"[538, 644, 755, 815, 853, 920, 933, 967, 1004, 1273, 1310, 1450, 1666]","[0.1543924919873569, 0.06834961115132174, 0.14518124531657753, 0.22884129777286022, 0.3184298128619374, 0.3192625582194346, 0.24236944277055375, 0.15964578977346275, 0.20003734653195576, 0.5600480970642838, 0.33142685382518466, 0.9995881043470466, 0.9552374981473233]"
108,α-chymotrypsinogen a (type ii),"[509, 643, 760, 832, 860, 880, 928, 981, 1011, 1037, 1130, 1240, 1340, 1460, 1554, 1620, 1672]","[0.07114269394881821, 0.033987669696940524, 0.3687966920084946, 0.1086743565809897, 0.20804053998312388, 0.2745657464372338, 0.1663190169892944, 0.366122211465349, 0.6393663605479152, 0.2330094764831795, 0.1868380128544177, 0.6405812712903094, 0.58965350046781, 0.6946205531990385, 0.4307802400540525, 0.32739608305048384, 0.9975916343542989]"
109,α-chymotrypsinogen a (type ii),"[512, 545, 643, 762, 840, 859, 882, 929, 975, 1005, 1036, 1130, 1240, 1332, 1343, 1452, 1544, 1621, 1669]","[0.17061821721877443, 0.06807913236142736, 0.05282972693091017, 0.41290666923683783, 0.13334695768023053, 0.16326046750492476, 0.24876810270104666, 0.07244234451084329, 0.29811455884251115, 0.688366571027401, 0.20845952065326684, 0.22045890979167926, 0.6137736092328736, 0.5474878059535637, 0.5792688040238609, 0.8051542337251137, 0.3285366092339876, 0.29168567460495687, 0.9985686362553248]"
110,α-chymotrypsinogen a (type ii),"[509, 550, 645, 760, 828, 855, 878, 923, 977, 1005, 1036, 1129, 1239, 1323, 1344, 1451, 1552, 1620, 1668]","[0.1374490513787917, 0.0650254518690435, 0.07303137268223478, 0.3132910082924372, 0.09932057776107678, 0.18591782833249745, 0.2568559995514209, 0.09323258843955705, 0.23354089388616328, 0.492563168757665, 0.1315235719677155, 0.18415935404395387, 0.49074542392943066, 0.4905648566860927, 0.5764697445568412, 0.9957567863703771, 0.3121954825570181, 0.24555589317292384, 0.9451971254246072]"
111,elastase,"[512, 541, 649, 763, 836, 861, 881, 934, 969, 1014, 1036, 1129, 1236, 1339, 1449, 1457, 1555, 1620, 1669]","[0.06732078804462635, 0.06929244798067817, 0.09443406377378867, 0.3135280479756715, 0.16612316524843204, 0.27435370574597007, 0.2469210114852314, 0.1263147754596871, 0.20888809016240026, 0.6418142734882555, 0.5504294710827898, 0.17970480652487061, 0.6365728552830331, 0.7274597321397548, 0.8558351749981168, 0.8753120279625063, 0.42826751854338313, 0.5820464427492175, 0.9874416471610534]"
112,elastase,"[646, 764, 838, 859, 880, 932, 964, 1009, 1043, 1130, 1240, 1347, 1453, 1556, 1625, 1676]","[0.060815479072261557, 0.4074931900861918, 0.20328471453053445, 0.3665284281052194, 0.2349083964389488, 0.18272415471009656, 0.28774721571131195, 0.7879188616737877, 0.3044539412898475, 0.27731901361389005, 0.778102623385031, 0.8323388344364967, 0.9685079003716558, 0.595406155986851, 0.5362999668239684, 0.9901423470359242]"
113,elastase,"[540, 647, 762, 840, 855, 878, 929, 965, 1003, 1032, 1126, 1249, 1342, 1449, 1555, 1619, 1671]","[0.11105679104902334, 0.09296905398026445, 0.15205787913448165, 0.20940393373210228, 0.22503697714828355, 0.21974960385614448, 0.07120487938079689, 0.16643514060085246, 0.3741635781390929, 0.3603956568605523, 0.24841035887905766, 0.4412113141191162, 0.5319903704114812, 0.9961369105358319, 0.3036833614348815, 0.3756687841434877, 0.8980027708168951]"
114,ferritin,"[765, 838, 857, 1008, 1343, 1456, 1557, 1612, 1661]","[0.2545096601834667, 0.22934968213345422, 0.24857657817910506, 0.7173130703877296, 0.5873599205815977, 0.9778313040247573, 0.3159513921272902, 0.336467306211151, 0.8494816985822881]"
115,ferritin,"[838, 857, 1340, 1461, 1615, 1658]","[0.518614668518222, 0.38924486169540423, 0.9761702663957704, 0.9444457028050319, 0.6728972618739392, 0.6552585161479243]"
116,ferritin,"[854, 883, 1003, 1268, 1319, 1342, 1449, 1558, 1613, 1662]","[0.27900671860921217, 0.25757119423702407, 0.4871160659288573, 0.36145762335104364, 0.3911265315900931, 0.5065004234276657, 0.998747766258297, 0.19321591693971885, 0.38647032088142325, 0.7820694777574713]"
117,glutathione transferase,"[526, 765, 834, 858, 936, 964, 1010, 1038, 1131, 1286, 1342, 1454, 1556, 1620, 1662]","[0.18907608479199814, 0.2942191893601607, 0.21545059115636375, 0.34811797202706984, 0.3067743951978431, 0.24451109203748977, 0.40278445553075315, 0.1709520369525654, 0.25949692580547995, 0.4540984925001285, 0.7178388030799147, 0.9979810497996265, 0.19701312725724537, 0.49260009142614164, 0.9694943251357662]"
118,glutathione transferase,"[526, 646, 761, 837, 856, 940, 958, 1006, 1035, 1129, 1286, 1343, 1455, 1553, 1622, 1664]","[0.1474310020993872, 0.17622656314123536, 0.2921025646084165, 0.27122365810700544, 0.5112580764803792, 0.3812798759434817, 0.32329676426403137, 0.5961797844493621, 0.22524091681186034, 0.2696719585187903, 0.4155251456058628, 0.6615534952629344, 0.9964334954765498, 0.17716914722090774, 0.4546734314387558, 0.979540764268621]"
119,horseradish peroxidase,"[1632, 1575, 1377, 1009, 760]","[0.9955316569089477, 0.8100523034697923, 0.9451793038313006, 0.48791943366237345, 0.2921727295931886]"
120,horseradish peroxidase,"[1630, 1560, 1370, 1009, 760]","[0.7202746843305661, 0.9378606849360541, 0.6073868820899265, 0.4928335657030295, 0.23982455553626003]"
121,hemoglobin,"[1640, 1585, 1360, 680]","[0.44868635372421833, 0.9715568068979799, 0.9728509188984487, 0.21018230580725727]"
